Lag,Hour,Test,Validation,val_y_shape,,test_y_shape,,val_y_shape,
94,2,0.983,0.981,(75707, 24),(75707, 1),(180, 1)
97,2,0.983,0.981,(75706, 24),(75706, 1),(180, 1)
101,2,0.983,0.981,(75704, 24),(75704, 1),(180, 1)
103,2,0.983,0.981,(75703, 24),(75703, 1),(180, 1)
104,2,0.983,0.981,(75702, 24),(75702, 1),(180, 1)
105,2,0.982,0.981,(75702, 24),(75702, 1),(180, 1)
109,2,0.983,0.981,(75700, 24),(75700, 1),(180, 1)
112,2,0.983,0.981,(75698, 24),(75698, 1),(180, 1)
114,2,0.982,0.981,(75697, 24),(75697, 1),(180, 1)
115,2,0.982,0.981,(75697, 24),(75697, 1),(180, 1)
122,2,0.982,0.981,(75693, 24),(75693, 1),(180, 1)
4,2,0.982,0.98,(75752, 24),(75752, 1),(180, 1)
8,2,0.983,0.98,(75750, 24),(75750, 1),(180, 1)
12,2,0.982,0.98,(75748, 24),(75748, 1),(180, 1)
84,2,0.982,0.98,(75712, 24),(75712, 1),(180, 1)
87,2,0.982,0.98,(75711, 24),(75711, 1),(180, 1)
88,2,0.982,0.98,(75710, 24),(75710, 1),(180, 1)
95,2,0.981,0.98,(75707, 24),(75707, 1),(180, 1)
98,2,0.982,0.98,(75705, 24),(75705, 1),(180, 1)
102,2,0.981,0.98,(75703, 24),(75703, 1),(180, 1)
106,2,0.981,0.98,(75701, 24),(75701, 1),(180, 1)
108,2,0.981,0.98,(75700, 24),(75700, 1),(180, 1)
110,2,0.982,0.98,(75699, 24),(75699, 1),(180, 1)
111,2,0.982,0.98,(75699, 24),(75699, 1),(180, 1)
113,2,0.982,0.98,(75698, 24),(75698, 1),(180, 1)
117,2,0.982,0.98,(75696, 24),(75696, 1),(180, 1)
119,2,0.981,0.98,(75695, 24),(75695, 1),(180, 1)
120,2,0.982,0.98,(75694, 24),(75694, 1),(180, 1)
121,2,0.982,0.98,(75694, 24),(75694, 1),(180, 1)
124,2,0.982,0.98,(75692, 24),(75692, 1),(180, 1)
125,2,0.981,0.98,(75692, 24),(75692, 1),(180, 1)
128,2,0.982,0.98,(75690, 24),(75690, 1),(180, 1)
137,2,0.981,0.98,(75686, 24),(75686, 1),(180, 1)
141,2,0.982,0.98,(75684, 24),(75684, 1),(180, 1)
145,2,0.981,0.98,(75682, 24),(75682, 1),(180, 1)
3,2,0.981,0.979,(75753, 24),(75753, 1),(180, 1)
96,2,0.98,0.979,(75706, 24),(75706, 1),(180, 1)
116,2,0.981,0.979,(75696, 24),(75696, 1),(180, 1)
118,2,0.981,0.979,(75695, 24),(75695, 1),(180, 1)
123,2,0.981,0.979,(75693, 24),(75693, 1),(180, 1)
126,2,0.981,0.979,(75691, 24),(75691, 1),(180, 1)
129,2,0.981,0.979,(75690, 24),(75690, 1),(180, 1)
130,2,0.981,0.979,(75689, 24),(75689, 1),(180, 1)
131,2,0.981,0.979,(75689, 24),(75689, 1),(180, 1)
132,2,0.981,0.979,(75688, 24),(75688, 1),(180, 1)
133,2,0.98,0.979,(75688, 24),(75688, 1),(180, 1)
134,2,0.981,0.979,(75687, 24),(75687, 1),(180, 1)
135,2,0.981,0.979,(75687, 24),(75687, 1),(180, 1)
136,2,0.981,0.979,(75686, 24),(75686, 1),(180, 1)
138,2,0.98,0.979,(75685, 24),(75685, 1),(180, 1)
140,2,0.981,0.979,(75684, 24),(75684, 1),(180, 1)
142,2,0.981,0.979,(75683, 24),(75683, 1),(180, 1)
146,2,0.98,0.979,(75681, 24),(75681, 1),(180, 1)
148,2,0.98,0.979,(75680, 24),(75680, 1),(180, 1)
154,2,0.98,0.979,(75677, 24),(75677, 1),(180, 1)
166,2,0.98,0.979,(75671, 24),(75671, 1),(180, 1)
178,2,0.98,0.979,(75665, 24),(75665, 1),(180, 1)
2,2,0.981,0.978,(75753, 24),(75753, 1),(180, 1)
143,2,0.98,0.978,(75683, 24),(75683, 1),(180, 1)
144,2,0.98,0.978,(75682, 24),(75682, 1),(180, 1)
150,2,0.98,0.978,(75679, 24),(75679, 1),(180, 1)
152,2,0.98,0.978,(75678, 24),(75678, 1),(180, 1)
158,2,0.98,0.978,(75675, 24),(75675, 1),(180, 1)
160,2,0.98,0.978,(75674, 24),(75674, 1),(180, 1)
170,2,0.979,0.978,(75669, 24),(75669, 1),(180, 1)
172,2,0.979,0.978,(75668, 24),(75668, 1),(180, 1)
176,2,0.98,0.978,(75666, 24),(75666, 1),(180, 1)
180,2,0.979,0.978,(75664, 24),(75664, 1),(180, 1)
186,2,0.98,0.978,(75661, 24),(75661, 1),(180, 1)
196,2,0.979,0.978,(75656, 24),(75656, 1),(180, 1)
156,2,0.978,0.977,(75676, 24),(75676, 1),(180, 1)
162,2,0.979,0.977,(75673, 24),(75673, 1),(180, 1)
164,2,0.979,0.977,(75672, 24),(75672, 1),(180, 1)
168,2,0.979,0.977,(75670, 24),(75670, 1),(180, 1)
174,2,0.979,0.977,(75667, 24),(75667, 1),(180, 1)
190,2,0.979,0.977,(75659, 24),(75659, 1),(180, 1)
194,2,0.979,0.977,(75657, 24),(75657, 1),(180, 1)
182,2,0.979,0.976,(75663, 24),(75663, 1),(180, 1)
184,2,0.978,0.976,(75662, 24),(75662, 1),(180, 1)
188,2,0.978,0.976,(75660, 24),(75660, 1),(180, 1)
192,2,0.978,0.976,(75658, 24),(75658, 1),(180, 1)
198,2,0.978,0.976,(75655, 24),(75655, 1),(180, 1)
27,3,0.977,0.975,(75741, 24),(75741, 1),(180, 1)
28,3,0.977,0.975,(75740, 24),(75740, 1),(180, 1)
32,3,0.977,0.975,(75738, 24),(75738, 1),(180, 1)
38,3,0.977,0.975,(75735, 24),(75735, 1),(180, 1)
39,3,0.977,0.975,(75735, 24),(75735, 1),(180, 1)
40,3,0.977,0.975,(75734, 24),(75734, 1),(180, 1)
43,3,0.977,0.975,(75733, 24),(75733, 1),(180, 1)
48,3,0.977,0.975,(75730, 24),(75730, 1),(180, 1)
54,3,0.977,0.975,(75727, 24),(75727, 1),(180, 1)
55,3,0.977,0.975,(75727, 24),(75727, 1),(180, 1)
58,3,0.977,0.975,(75725, 24),(75725, 1),(180, 1)
200,2,0.978,0.975,(75654, 24),(75654, 1),(180, 1)
19,3,0.976,0.974,(75745, 24),(75745, 1),(180, 1)
20,3,0.976,0.974,(75744, 24),(75744, 1),(180, 1)
21,3,0.976,0.974,(75744, 24),(75744, 1),(180, 1)
23,3,0.976,0.974,(75743, 24),(75743, 1),(180, 1)
24,3,0.976,0.974,(75742, 24),(75742, 1),(180, 1)
25,3,0.976,0.974,(75742, 24),(75742, 1),(180, 1)
26,3,0.976,0.974,(75741, 24),(75741, 1),(180, 1)
29,3,0.977,0.974,(75740, 24),(75740, 1),(180, 1)
31,3,0.976,0.974,(75739, 24),(75739, 1),(180, 1)
33,3,0.976,0.974,(75738, 24),(75738, 1),(180, 1)
34,3,0.977,0.974,(75737, 24),(75737, 1),(180, 1)
41,3,0.976,0.974,(75734, 24),(75734, 1),(180, 1)
42,3,0.976,0.974,(75733, 24),(75733, 1),(180, 1)
45,3,0.976,0.974,(75732, 24),(75732, 1),(180, 1)
47,3,0.976,0.974,(75731, 24),(75731, 1),(180, 1)
50,3,0.977,0.974,(75729, 24),(75729, 1),(180, 1)
51,3,0.976,0.974,(75729, 24),(75729, 1),(180, 1)
52,3,0.976,0.974,(75728, 24),(75728, 1),(180, 1)
59,3,0.976,0.974,(75725, 24),(75725, 1),(180, 1)
61,3,0.976,0.974,(75724, 24),(75724, 1),(180, 1)
63,3,0.976,0.974,(75723, 24),(75723, 1),(180, 1)
64,3,0.976,0.974,(75722, 24),(75722, 1),(180, 1)
65,3,0.976,0.974,(75722, 24),(75722, 1),(180, 1)
72,3,0.976,0.974,(75718, 24),(75718, 1),(180, 1)
73,3,0.976,0.974,(75718, 24),(75718, 1),(180, 1)
77,3,0.976,0.974,(75716, 24),(75716, 1),(180, 1)
80,3,0.976,0.974,(75714, 24),(75714, 1),(180, 1)
83,3,0.975,0.974,(75713, 24),(75713, 1),(180, 1)
89,3,0.976,0.974,(75710, 24),(75710, 1),(180, 1)
17,3,0.975,0.973,(75746, 24),(75746, 1),(180, 1)
18,3,0.975,0.973,(75745, 24),(75745, 1),(180, 1)
22,3,0.975,0.973,(75743, 24),(75743, 1),(180, 1)
37,3,0.975,0.973,(75736, 24),(75736, 1),(180, 1)
46,3,0.975,0.973,(75731, 24),(75731, 1),(180, 1)
49,3,0.975,0.973,(75730, 24),(75730, 1),(180, 1)
53,3,0.975,0.973,(75728, 24),(75728, 1),(180, 1)
56,3,0.975,0.973,(75726, 24),(75726, 1),(180, 1)
57,3,0.975,0.973,(75726, 24),(75726, 1),(180, 1)
60,3,0.975,0.973,(75724, 24),(75724, 1),(180, 1)
62,3,0.975,0.973,(75723, 24),(75723, 1),(180, 1)
67,3,0.975,0.973,(75721, 24),(75721, 1),(180, 1)
68,3,0.975,0.973,(75720, 24),(75720, 1),(180, 1)
69,3,0.974,0.973,(75720, 24),(75720, 1),(180, 1)
